Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
libsystem_c.dylib`tiny_free_list_remove_ptr                 1   0.1%
click`_ZL18ip_address_portionPKcS0_PhRi                     1   0.1%
libsystem_c.dylib`memmove$VARIANT$sse42                     1   0.1%
libsystem_c.dylib`tiny_free_detach_region                   2   0.1%
libsystem_c.dylib`szone_malloc_should_clear                 2   0.1%
libsystem_c.dylib`pthread_self                              3   0.2%
libsystem_c.dylib`free                                      3   0.2%
click`RadixIPLookup106::Radix::free_radix(RadixIPLookup106::Radix*)        4   0.2%
libsystem_c.dylib`bzero$VARIANT$sse42                       4   0.2%
click`RouterThread::lock_tasks()                           10   0.5%
click`_ZL18skip_spacevec_itemPKcS0_                        13   0.7%
click`Lexer::FileState::lex_config(Lexer*)                 15   0.8%
click`PoundRadixIPLookupM106::run_task(Task*)              17   0.9%
click`cp_shift_spacevec(String&)                           18   0.9%
click`RadixIPLookup106::remove_from_v(int)                 22   1.1%
click`RadixIPLookup106::reclaim_v()                        23   1.2%
click`_ZL17partial_uncommentRK6StringiPi                   24   1.2%
click`0x0                                                  24   1.2%
click`Spinlock::acquire()                                1801  90.4%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`RadixIPLookup106::insert_into_v(IPRoute               0   0.0%
click`cp_expand(String                                      0   0.0%
click`RadixIPLookup106::Radix::change(unsigned              0   0.0%
click`DEQueue<int>::operator=(DEQueue<int>                  0   0.0%
click`cp_argvec(String                                      0   0.0%
click`RadixIPLookup106::add_route(IPRoute                   0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
click`BucketArray<IPRoute>::push_back(IPRoute               0   0.0%
click`cp_basic_integer(char                                 0   0.0%
click`BucketArray<IPRoute>::reserve()                       1   0.1%
libsystem_c.dylib`szone_free_definite_size                  1   0.1%
libsystem_c.dylib`tiny_free_list_remove_ptr                 1   0.1%
click`DYLD-STUB$$pthread_self                               2   0.1%
libsystem_c.dylib`tiny_free_list_add_ptr                    2   0.1%
libsystem_c.dylib`memmove$VARIANT$sse42                     2   0.1%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     2   0.1%
libsystem_c.dylib`pthread_self                              3   0.2%
click`RadixIPLookup106::Radix::free_radix(RadixIPLookup106::Radix*)        3   0.2%
click`PoundRadixIPLookupM106::run_task(Task*)               6   0.3%
click`_ZL18ip_address_portionPKcS0_PhRi                     9   0.5%
click`Lexer::FileState::lex_config(Lexer*)                 15   0.8%
click`cp_shift_spacevec(String&)                           15   0.8%
click`_ZL18skip_spacevec_itemPKcS0_                        17   0.9%
click`RadixIPLookup106::reclaim_v()                        18   0.9%
click`_ZL17partial_uncommentRK6StringiPi                   25   1.3%
click`RadixIPLookup106::remove_from_v(int)                 25   1.3%
click`RouterThread::lock_tasks()                           35   1.8%
click`0x0                                                  37   1.9%
click`Spinlock::acquire()                                1764  89.0%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`RadixIPLookup106::insert_into_v(IPRoute               0   0.0%
click`cp_expand(String                                      0   0.0%
click`RadixIPLookup106::Radix::change(unsigned              0   0.0%
click`DEQueue<int>::operator=(DEQueue<int>                  0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup106::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
libstdc                                                     0   0.0%
click`BucketArray<IPRoute>::push_back(IPRoute               0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`get_tiny_free_size                        1   0.1%
libsystem_kernel.dylib`madvise                              1   0.1%
libsystem_c.dylib`tiny_free_list_remove_ptr                 1   0.1%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     1   0.1%
libsystem_c.dylib`__fread                                   1   0.1%
libsystem_c.dylib`szone_size                                1   0.1%
click`DYLD-STUB$$pthread_self                               2   0.1%
libsystem_c.dylib`szone_malloc_should_clear                 2   0.1%
libsystem_c.dylib`bzero$VARIANT$sse42                       2   0.1%
libsystem_c.dylib`tiny_malloc_from_free_list                2   0.1%
click`RadixIPLookup106::Radix::free_radix(RadixIPLookup106::Radix*)        3   0.2%
libsystem_c.dylib`memmove$VARIANT$sse42                     3   0.2%
libsystem_c.dylib`szone_free_definite_size                  5   0.3%
click`_ZL18ip_address_portionPKcS0_PhRi                     6   0.3%
libsystem_c.dylib`pthread_self                             11   0.6%
click`Lexer::FileState::lex_config(Lexer*)                 14   0.8%
click`PoundRadixIPLookupM106::run_task(Task*)              14   0.8%
click`_ZL18skip_spacevec_itemPKcS0_                        17   0.9%
click`cp_shift_spacevec(String&)                           18   1.0%
click`RadixIPLookup106::reclaim_v()                        22   1.2%
click`_ZL17partial_uncommentRK6StringiPi                   23   1.2%
click`RadixIPLookup106::remove_from_v(int)                 29   1.6%
click`0x0                                                  33   1.8%
click`RouterThread::lock_tasks()                           72   3.9%
click`Spinlock::acquire()                                1577  84.7%
